Domain,TotalQuestions,MCQCount,CaseItemCount,BloomRemember,BloomUnderstand,BloomApply,BloomAnalyze,BloomEvaluate,BloomUnassigned,DifficultyEasy,DifficultyModerate,DifficultyDifficult,DifficultyUnassigned
External Financial Reporting Decisions,583,515,0,18,153,237,116,59,0,73,199,133,0
"Planning, Budgeting, and Forecasting",677,604,0,25,115,289,142,106,0,79,215,235,0
Performance Management,721,643,0,26,193,295,136,71,0,106,312,162,0
Cost Management,543,461,0,2,158,231,98,54,0,67,240,126,0
Internal Controls,532,464,0,25,193,134,105,75,0,101,159,165,0
Technology and Analytics,439,383,0,1,174,56,119,89,0,115,116,138,0
